No.,Class,SMILES,pIC50,Y-Label,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole moment,HOMO,LUMO,HOMO-LUMO gap,Article Title,Reference
1,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)[H],5.15490196,Inactive,232.31,2,2,3,4,1.285,72.19,0.279746515,-765.0037552,4.082,-0.20209,-0.02786,0.17423,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-72
2,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)C,4.494850022,Inactive,246.34,2,2,2,4,1.491,63.4,0.266307833,-804.3133762,3.5147,-0.20061,-0.02513,0.17548,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-73
3,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CC,4.552841969,Inactive,260.37,3,2,2,4,1.84,63.4,0.260490282,-843.6297884,3.4409,-0.20041,-0.02487,0.17554,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-74
4,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCC,5.301029996,Inactive,274.4,4,2,2,4,2.364,63.4,0.254351286,-882.9436553,3.3887,-0.20029,-0.02451,0.17578,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-75
5,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCC,5.552841969,Inactive,288.43,5,2,2,4,2.82,63.4,0.2489596,-922.2559103,3.3545,-0.20019,-0.02435,0.17584,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-76
6,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCCC,5.180456064,Inactive,302.46,6,2,2,4,3.276,63.4,0.244476583,-961.5659108,3.3565,-0.20017,-0.02465,0.17552,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-77
7,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCCCC,5.795880017,Inactive,316.49,7,2,2,4,3.732,63.4,0.241038176,-1000.875988,3.4609,-0.20056,-0.02583,0.17473,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-78
8,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCCCCC,5.619788758,Inactive,330.52,8,2,2,4,4.188,63.4,0.236312148,-1040.191691,3.3053,-0.20005,-0.0239,0.17615,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-79
9,Non-Steroid,O=C1N(C(CCC1(C2=CC=C(C=C2)N)CC)=O)CCCCCCCC,5.795880017,Inactive,344.55,9,2,2,4,4.645,63.4,0.233669175,-1079.507784,3.509,-0.2011,-0.02705,0.17405,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-80
11,Non-Steroid,O=C1N(CC(C)=O)C(CCC1(CC)C2=CC=C(N)C=C2)=O,4.823908741,Inactive,288.38,4,2,2,5,1.146,80.47,0.277914439,-956.9580187,0.9267,-0.20029,-0.02343,0.17686,"1-Alkyl analogues of aminoglutethimide. Comparative inhibition of cholesterol side chain cleavage and aromatase and metabolism of the 1-propyl derivative, a highly selective inhibitor of aromatase",Biochem Pharmacol. 1988;37(11):2167-81
12,Steroid,CC12C(C(CC3C2CCC4(C)C3CCC4=O)=O)=CC(OC=O)CC1,4.301029996,Inactive,330.46,2,4,0,4,2.524,60.44,0.21583812,-1078.657224,7.0237,-0.24364,-0.05752,0.18612,3 beta-hydroxyandrost-4-en-6-one derivatives as aromatase inhibitors,Steroids. 1989;54(3):299-311
13,Steroid,CC12C(C(CC3C2CCC4(C)C3CCC4=O)=O)=CC(OC(C)=O)CC1,5.48148606,Inactive,344.49,2,4,0,4,2.571,60.44,0.229051377,-1117.990586,2.6763,-0.23947,-0.0491,0.19037,3 beta-hydroxyandrost-4-en-6-one derivatives as aromatase inhibitors,Steroids. 1989;54(3):299-312
17,Steroid,CC12CCCC=C1C(CC3C2CCC4(C3CCC4=O)C)=O,5.769551079,Inactive,286.45,0,4,0,2,3.294,34.14,0.206658234,-890.1128367,4.5421,-0.23207,-0.03819,0.19388,3 beta-hydroxyandrost-4-en-6-one derivatives as aromatase inhibitors,Steroids. 1989;54(3):299-313
18,Steroid,C[C@@]12C([C@@H](CCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,3.853871964,Inactive,376.63,3,5,0,1,6.632,17.07,0.184103,-1125.784825,4.5716,-0.22907,-0.04191,0.18716,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-8
19,Steroid,C[C@@]12C([C@@H](CCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,3.397940009,Inactive,390.66,4,5,0,1,7.088,17.07,0.183352821,-1165.098418,4.5741,-0.22838,-0.04106,0.18732,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-9
20,Steroid,C[C@@]12C([C@@H](CCCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,3.468521083,Inactive,404.69,5,5,0,1,7.544,17.07,0.182803286,-1204.410682,4.5546,-0.22818,-0.04088,0.1873,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-10
21,Steroid,C[C@@]12C([C@@H](CCCCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,3.251811973,Inactive,418.72,6,5,0,1,8,17.07,0.182626068,-1243.720665,4.3153,-0.22834,-0.04102,0.18732,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-11
22,Steroid,C[C@@]12C([C@H](CCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,2.978810701,Inactive,376.63,3,5,0,1,6.632,17.07,0.185752359,-1125.768533,4.495,-0.2276,-0.04198,0.18562,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-12
23,Steroid,C[C@@]12C([C@H](CCCC3=CC=CC=C3)CC4C2CC[C@@]5(C)C4CCC5)=CC(CC1)=O,3.537602002,Inactive,390.66,4,5,0,1,7.088,17.07,0.183647642,-1165.092657,4.4677,-0.22761,-0.04143,0.18618,"6-Phenylaliphatic-substituted androst-4-ene-3,17-diones as aromatase inhibitors: structure-activity relationships",J Steroid Biochem Mol Biol. 1998 Oct;67(1):41-13
